0 -1.3650934000000001e+02
1 -1.3639709999999999e+02
2 -1.3616371000000001e+02
3 -1.3644855999999999e+02
4 -1.3645027999999999e+02
5 -1.3631944999999999e+02
6 -1.3637225000000001e+02
7 -1.3629463999999999e+02
8 -1.3637013999999999e+02
9 -1.3649878000000001e+02
10 -1.3628584000000001e+02
11 -1.3648697000000001e+02
12 -1.3635284999999999e+02
13 -1.3638570000000001e+02
14 -1.3647765000000001e+02
15 -1.3644158999999999e+02
16 -1.3641915000000000e+02
17 -1.3446292000000000e+02
18 -1.3630133000000001e+02
