0 11 -1.0779985999999999e+03
0 11 -1.0779861300000000e+03
0 12 -1.0783606700000000e+03
0 8 -1.0781941400000001e+03
1 9 -1.0777932900000001e+03
1 3 -1.0780779700000001e+03
1 8 -1.0778269200000000e+03
1 1 -1.0781508100000001e+03
1 1 -1.0781675399999999e+03
1 13 -1.0780185500000000e+03
1 4 -1.0778401699999999e+03
1 4 -1.0778102600000000e+03
4 10 -1.0776101699999999e+03
4 7 -1.0778753899999999e+03
6 7 -1.0776182200000001e+03
6 7 -1.0775811000000001e+03
7 14 -1.0777634000000000e+03
8 12 -1.0782375500000001e+03
12 13 -1.0777987700000001e+03
