0 44 -1.7647027600000001e+04
1 7 -1.7647208040000001e+04
2 34 -1.7647059160000001e+04
2 24 -1.7647321230000001e+04
3 14 -1.7647137540000000e+04
3 14 -1.7647113249999999e+04
3 22 -1.7647027539999999e+04
4 5 -1.7647029380000000e+04
4 20 -1.7646764800000001e+04
4 25 -1.7647301110000000e+04
5 43 -1.7646997360000001e+04
6 11 -1.7647208050000001e+04
8 36 -1.7647311089999999e+04
9 37 -1.7647045080000000e+04
10 52 -1.7646917549999998e+04
10 12 -1.7647045040000001e+04
12 53 -1.7646946570000000e+04
12 87 -1.7646830910000001e+04
13 37 -1.7646946319999999e+04
14 24 -1.7646902950000000e+04
15 16 -1.7643658270000000e+04
19 23 -1.7646209060000001e+04
20 21 -1.7646503069999999e+04
21 21 -1.7646364070000000e+04
21 117 -1.7646528709999999e+04
24 42 -1.7646997930000001e+04
26 27 -1.7647116370000000e+04
26 28 -1.7647117010000002e+04
29 30 -1.7642725740000002e+04
32 35 -1.7647060290000001e+04
36 56 -1.7646764060000001e+04
37 82 -1.7646831440000002e+04
48 49 -1.7646917539999999e+04
54 57 -1.7646902330000001e+04
54 78 -1.7647137299999999e+04
56 71 -1.7646501730000000e+04
59 60 -1.7643132799999999e+04
65 66 -1.7646294849999998e+04
67 77 -1.7646208449999998e+04
69 70 -1.7645729459999999e+04
75 76 -1.7645729019999999e+04
88 89 -1.7644266690000000e+04
91 92 -1.7641536919999999e+04
93 94 -1.7645205580000002e+04
95 96 -1.7642369520000000e+04
99 100 -1.7642868289999999e+04
102 103 -1.7645676439999999e+04
107 108 -1.7640606189999999e+04
113 114 -1.7640756280000001e+04
115 116 -1.7639340769999999e+04
