0 -7.2673774899999999e+03
1 -7.2673051400000004e+03
2 -7.2673292000000001e+03
3 -7.2636297500000001e+03
4 -7.2655037000000002e+03
5 -7.2666630900000000e+03
6 nan
7 nan
8 -5.9177305639999999e+04
9 -7.2649613600000002e+03
10 -7.2636380300000001e+03
11 nan
12 nan
13 -7.2637088100000001e+03
14 -4.5251397340000003e+04
