0 -1.4597090000000000e+01
1 -1.4589969999999999e+01
2 -1.4589969999999999e+01
3 -1.4572360000000000e+01
4 -1.4597090000000000e+01
5 -1.3043640000000000e+01
6 -1.2257260000000000e+01
7 -1.4724959999999999e+01
8 -1.2367860000000000e+01
9 -1.2212160000000001e+01
10 -1.4736020000000000e+01
11 -1.3043329999999999e+01
12 -1.2253000000000000e+01
13 -1.2275960000000000e+01
14 -1.2367860000000000e+01
15 -1.0749160000000000e+01
16 -1.3032159999999999e+01
17 -1.0922050000000000e+01
18 -1.0408840000000000e+01
