0 4 -3.4848460000000003e+01
0 4 -3.4841360000000002e+01
0 6 -3.4849609999999998e+01
0 6 -3.4840200000000003e+01
0 2 -3.5455410000000001e+01
0 0 -3.5623210000000000e+01
0 9 -3.5399529999999999e+01
2 7 -3.4824730000000002e+01
2 7 -3.4805050000000001e+01
2 7 -3.4834690000000002e+01
2 5 -3.4832729999999998e+01
2 5 -3.4806370000000001e+01
4 7 -3.5284210000000002e+01
4 5 -3.5412860000000002e+01
5 6 -3.5284170000000003e+01
5 9 -3.4814720000000001e+01
6 8 -3.4825839999999999e+01
7 9 -3.4812759999999997e+01
