0 3 -1.7647321039999999e+04
0 3 -1.7647298970000000e+04
0 3 -1.7647291310000001e+04
0 14 -1.7646927240000001e+04
0 21 -1.7646950440000001e+04
0 23 -1.7645712210000002e+04
1 2 -1.7646779999999999e+04
1 12 -1.7646317650000001e+04
2 3 -1.7646890510000001e+04
3 6 -1.7646897130000001e+04
3 9 -1.7646921670000000e+04
3 30 -1.7645250590000000e+04
4 10 -1.7646890319999999e+04
4 5 -1.7646921600000001e+04
4 8 -1.7646896939999999e+04
4 13 -1.7647321179999999e+04
4 7 -1.7647299820000000e+04
4 26 -1.7646098279999998e+04
5 8 -1.7646856400000001e+04
5 8 -1.7646828310000001e+04
6 9 -1.7646856950000001e+04
7 15 -1.7646926350000002e+04
7 11 -1.7646962889999999e+04
7 31 -1.7646950990000001e+04
8 32 -1.7645327659999999e+04
10 11 -1.7646780139999999e+04
11 19 -1.7646317650000001e+04
14 16 -1.7646817620000002e+04
14 19 -1.7646252219999998e+04
17 18 -1.7646818380000001e+04
27 28 -1.7644811870000001e+04
33 34 -1.7644563790000000e+04
