0 5 -1.3494277930000000e+04
1 2 -1.3494121450000001e+04
2 3 -1.3493811970000001e+04
5 6 -1.3493959570000001e+04
7 8 -1.3487267190000000e+04
9 10 -1.3487530510000001e+04
