0 1 -1.7647321769999999e+04
0 7 -1.7647027460000001e+04
0 9 -1.7647096470000000e+04
0 14 -1.7646678779999998e+04
1 3 -1.7646996990000000e+04
1 3 -1.7646908250000000e+04
1 3 -1.7646996599999999e+04
1 8 -1.7647031050000001e+04
1 10 -1.7646751049999999e+04
2 9 -1.7647199949999998e+04
2 4 -1.7646913100000002e+04
2 4 -1.7646760100000000e+04
2 2 -1.7647336700000000e+04
3 8 -1.7647294660000000e+04
3 8 -1.7647274870000001e+04
3 3 -1.7647363330000000e+04
3 3 -1.7647337420000000e+04
3 7 -1.7647146160000000e+04
4 6 -1.7646958520000000e+04
4 6 -1.7647043600000001e+04
4 36 -1.7645972010000001e+04
4 4 -1.7647224610000001e+04
5 6 -1.7646945759999999e+04
5 6 -1.7646917870000001e+04
6 9 -1.7646831419999999e+04
6 9 -1.7646788929999999e+04
9 29 -1.7645141189999998e+04
10 11 -1.7646540110000002e+04
10 37 -1.7646445370000001e+04
11 13 -1.7646233450000000e+04
11 13 -1.7646226940000000e+04
11 22 -1.7646216939999998e+04
12 13 -1.7646206510000000e+04
14 15 -1.7646309120000002e+04
14 16 -1.7646258210000000e+04
17 18 -1.7644643609999999e+04
19 20 -1.7645054059999999e+04
21 21 -1.7645533299999999e+04
23 30 -1.7644676599999999e+04
24 25 -1.7642872179999998e+04
27 28 -1.7645149890000001e+04
31 32 -1.7646013640000001e+04
33 34 -1.7644838459999999e+04
