0 2 -1.7647321540000001e+04
0 2 -1.7647073789999999e+04
0 6 -1.7646865890000001e+04
0 1 -1.7646965440000000e+04
0 1 -1.7647065520000000e+04
1 5 -1.7646983600000000e+04
1 7 -1.7646495869999999e+04
1 9 -1.7646482840000001e+04
1 1 -1.7646897740000000e+04
2 3 -1.7646901330000001e+04
2 5 -1.7646984079999998e+04
3 8 -1.7646830669999999e+04
3 8 -1.7646799190000002e+04
3 6 -1.7646596949999999e+04
3 4 -1.7646370050000001e+04
4 5 -1.7646545510000000e+04
4 7 -1.7646299599999998e+04
4 10 -1.7645412359999998e+04
5 18 -1.7646054029999999e+04
5 23 -1.7645407920000001e+04
5 5 -1.7647153360000000e+04
6 9 -1.7646284560000000e+04
11 12 -1.7644009259999999e+04
13 13 -1.7645392179999999e+04
13 19 -1.7645762060000001e+04
14 15 -1.7645570589999999e+04
14 15 -1.7645847129999998e+04
16 17 -1.7644697690000001e+04
20 22 -1.7645152350000000e+04
29 30 -1.7644240099999999e+04
