0 4 -1.3494178990000000e+04
0 5 -1.3494271980000000e+04
0 1 -1.3494147460000000e+04
1 1 -1.3490253640000001e+04
1 9 -1.3491431590000000e+04
1 2 -1.3493683520000000e+04
1 3 -1.3494179630000001e+04
1 15 -1.3489912670000000e+04
2 3 -1.3493812089999999e+04
2 2 -1.3493892089999999e+04
2 17 -1.3489690979999999e+04
5 8 -1.3489416680000000e+04
5 14 -1.3490139540000000e+04
6 7 -1.3489854980000000e+04
7 10 -1.3491214180000001e+04
7 13 -1.3489532450000001e+04
7 16 -1.3489293949999999e+04
7 18 -1.3488393150000000e+04
11 12 -1.3487071660000000e+04
