0 -1.7647551780000002e+04
1 -1.7647332869999998e+04
2 -1.7647311529999999e+04
3 -1.7647074769999999e+04
4 -1.7647249609999999e+04
5 -1.7646976220000000e+04
6 -1.7647364300000001e+04
7 -1.7647473379999999e+04
8 -1.7647225510000000e+04
9 -1.7646273639999999e+04
10 -1.7647174520000000e+04
11 -1.7647273900000000e+04
12 -1.7647564930000000e+04
13 -1.7647546030000001e+04
14 -1.7645070729999999e+04
15 -1.7646569759999998e+04
16 -1.7642036230000002e+04
17 -1.7647188510000000e+04
18 -1.7645801889999999e+04
19 -1.7644050869999999e+04
20 -1.7647572670000001e+04
21 -1.7644928319999999e+04
22 -1.7638656149999999e+04
23 -1.7644041760000000e+04
24 -1.7646235929999999e+04
25 -1.7642120320000002e+04
26 -1.7644186979999999e+04
27 -1.7643547900000001e+04
28 -1.7645127380000002e+04
29 -1.7646041529999999e+04
30 -1.7646135989999999e+04
31 -1.7644541020000001e+04
32 -1.7647514050000002e+04
33 -1.7645903579999998e+04
34 -1.7643750469999999e+04
35 -1.7643384580000002e+04
36 -1.7641987509999999e+04
37 -1.7641683460000000e+04
38 -1.7855925530000000e+04
39 -1.7645902559999999e+04
40 -1.7647526890000001e+04
41 -1.7644800100000000e+04
42 -1.7644166480000000e+04
43 -1.7645570589999999e+04
44 -1.7645922269999999e+04
45 -1.7643925749999999e+04
46 -1.7645298030000002e+04
47 -1.7644713110000001e+04
48 -1.7643673559999999e+04
49 -1.7641184280000001e+04
50 -1.7646061369999999e+04
51 -1.7644239040000000e+04
52 -1.7644567179999998e+04
53 -1.7645934399999998e+04
54 -1.7644002140000001e+04
55 -1.7644208830000000e+04
56 -1.7647485779999999e+04
