0 -3.7079720000000002e+01
1 -3.7079720000000002e+01
2 -3.6878709999999998e+01
3 -3.6878709999999998e+01
4 -3.7074950000000001e+01
5 -3.6953870000000002e+01
6 -3.7094290000000001e+01
7 -3.6698529999999998e+01
8 -3.7094290000000001e+01
9 -3.6921590000000002e+01
10 -3.6921590000000002e+01
11 -3.6941609999999997e+01
12 -3.6879899999999999e+01
13 -3.6953870000000002e+01
14 -3.6641919999999999e+01
15 -3.7074950000000001e+01
16 -3.6891880000000000e+01
17 -3.6698529999999998e+01
18 -3.6941560000000003e+01
19 -3.6891880000000000e+01
20 -3.6879890000000003e+01
21 -3.6641919999999999e+01
22 -3.7062800000000003e+01
23 -3.7062120000000000e+01
24 -3.7048580000000001e+01
25 -3.1444320000000001e+01
