0 12 -3.6613160000000001e+01
0 12 -3.6572809999999997e+01
0 16 -3.6602629999999998e+01
0 16 -3.6587809999999998e+01
0 3 -3.6600450000000002e+01
1 2 -3.6600090000000002e+01
1 20 -3.6612609999999997e+01
1 19 -3.6602339999999998e+01
1 4 -3.6872039999999998e+01
1 13 -3.6574449999999999e+01
2 9 -3.6754890000000003e+01
2 9 -3.6726289999999999e+01
2 21 -3.6375000000000000e+01
2 17 -3.6412390000000002e+01
2 17 -3.6354880000000001e+01
2 17 -3.6397860000000001e+01
3 7 -3.6410950000000000e+01
3 7 -3.6354869999999998e+01
3 10 -3.6754730000000002e+01
3 14 -3.6374389999999998e+01
4 8 -3.6587069999999997e+01
4 13 -3.6619610000000002e+01
5 6 -3.6877730000000000e+01
5 15 -3.6619320000000002e+01
6 15 -3.6586199999999998e+01
6 20 -3.6473219999999998e+01
8 13 -3.6877730000000000e+01
8 8 -3.7067839999999997e+01
9 18 -3.6435209999999998e+01
9 18 -3.6464419999999997e+01
10 11 -3.6435639999999999e+01
10 11 -3.6461970000000001e+01
11 14 -3.6534970000000001e+01
11 14 -3.6546619999999997e+01
12 25 -3.1081750000000000e+01
15 22 -3.6874960000000002e+01
17 17 -3.6537880000000001e+01
18 21 -3.6534390000000002e+01
20 25 -3.0903359999999999e+01
