0 2 -7.2673018000000002e+03
0 3 -7.2673045599999996e+03
0 21 -7.2642160500000000e+03
0 14 -7.2641020200000003e+03
1 3 -7.2673231400000004e+03
1 1 -7.2673314899999996e+03
1 15 -7.2642088800000001e+03
2 4 -7.2640807900000000e+03
2 14 -7.2642399900000000e+03
3 16 -7.2641142000000000e+03
3 23 -7.2642464700000000e+03
5 6 -7.2629503000000004e+03
5 6 -7.2629565499999999e+03
5 6 -7.2629653799999996e+03
5 15 -7.2640549400000000e+03
6 9 -7.2629319500000001e+03
6 9 -7.2629641499999998e+03
6 18 -7.2628448699999999e+03
6 12 -7.2621749399999999e+03
6 12 -7.2622101700000003e+03
7 8 -7.2623360800000000e+03
7 31 -7.2607846200000004e+03
9 15 -7.2640465899999999e+03
9 11 -7.2641031300000004e+03
10 11 -7.2641102799999999e+03
10 20 -7.2625891000000001e+03
10 56 -7.2644512999999997e+03
11 33 -7.2622672199999997e+03
11 45 -7.2643825600000000e+03
12 13 -7.2619721600000003e+03
15 17 -7.2643778300000004e+03
15 56 -7.2655669900000003e+03
16 50 -7.2641720400000004e+03
18 22 -7.2647699800000000e+03
19 20 -7.2619159499999996e+03
19 20 -7.2620683399999998e+03
22 41 -7.2619903599999998e+03
23 40 -7.2620090899999996e+03
27 28 -7.2620014300000003e+03
28 41 -7.2614590699999999e+03
33 34 -7.2625700299999999e+03
35 36 -7.2608319400000000e+03
38 39 -7.2625008300000000e+03
47 48 -7.2627859699999999e+03
55 56 -7.2647037200000004e+03
