0 14 -1.7645716469999999e+04
0 5 -1.7647321380000001e+04
0 1 -1.7647073420000001e+04
0 33 -1.7646120960000000e+04
1 4 -1.7646993680000000e+04
1 7 -1.7646536400000001e+04
2 10 -1.7646993530000000e+04
2 3 -1.7647073300000000e+04
2 19 -1.7646536660000002e+04
3 8 -1.7647320960000001e+04
3 14 -1.7645716290000000e+04
4 11 -1.7646614170000001e+04
4 11 -1.7646390550000000e+04
4 5 -1.7646963130000000e+04
5 12 -1.7645773060000000e+04
5 22 -1.7646931629999999e+04
5 36 -1.7646595099999999e+04
6 8 -1.7646931860000001e+04
7 11 -1.7646421249999999e+04
8 12 -1.7645775160000001e+04
8 10 -1.7646963110000001e+04
9 10 -1.7646614160000001e+04
9 10 -1.7646389100000000e+04
9 19 -1.7646419900000001e+04
10 17 -1.7646608339999999e+04
10 10 -1.7647135070000000e+04
12 13 -1.7645449040000000e+04
12 24 -1.7645217040000000e+04
12 35 -1.7645212210000002e+04
13 20 -1.7645234059999999e+04
14 15 -1.7645242620000001e+04
14 18 -1.7645240460000001e+04
16 17 -1.7645584719999999e+04
20 21 -1.7645233779999999e+04
23 23 -1.7645753010000000e+04
30 30 -1.7645753000000001e+04
33 34 -1.7645162059999999e+04
